,Actor,Movies
2126,Horatio Sanz,"['Road Trip', 'Tomcats']"
2127,Chester Conklin,"['Greed', 'Modern Times', ""Tillie's Punctured Romance""]"
2128,James Cromwell,"['Eraser', 'The Green Mile', 'Babe: Pig in the City', 'Spirit: Stallion of the Cimarron', 'I, Robot', 'Star Trek: First Contact', 'Babe', 'Deep Impact', 'The People vs. Larry Flynt']"
2129,Alyssa Milano,"['Casualties of Love: The Long Island Lolita Story', 'Commando', ""Lady and the Tramp II: Scamp's Adventure"", 'Fear']"
2130,Ben Gazzara,"[""Buffalo '66"", 'Happiness', 'Inchon', 'Road House']"
2131,Sarah Rose Karr,"[""Beethoven's 2nd"", 'Beethoven']"
2132,Don Barclay,"['Alice in Wonderland', 'Cinderella', 'Peter Pan']"
2133,Willie Garson,"['Groundhog Day', 'Out Cold']"
2134,Keith Cooke,"['Mortal Kombat', ""China O'Brien""]"
2135,Sandra Bernhard,"['An Alan Smithee Film: Burn Hollywood Burn', 'The King of Comedy']"
2136,Lawrence Hilton-Jacobs,"['Claudine', 'The Jacksons: An American Dream']"
2137,Joe Mantegna,"['Alice', 'The Godfather Part III', 'Â¡Three Amigos!', ""Baby's Day Out""]"
2138,Chevy Chase,"[""National Lampoon's Christmas Vacation"", 'Hero', 'Dirty Work', ""Dead Men Don't Wear Plaid"", 'Orange County', 'Â¡Three Amigos!', 'Vacation']"
2139,Jason Miller,"['Monsignor', 'The Exorcist', 'Rudy']"
2140,James Gregory,"['PT 109', 'The Manchurian Candidate']"
2141,Josh Brolin,"['Mimic', 'Picnic']"
2142,Bill Paxton,"['Tombstone', 'Aliens', 'Stripes', 'Thunderbirds', 'Titanic', 'Apollo 13', 'Weird Science', 'U-571', 'Twister']"
2143,Mia Sara,"['Legend', ""Ferris Bueller's Day Off""]"
2144,Bruno Ganz,"['The Manchurian Candidate', 'The Boys from Brazil', 'Downfall']"
2145,Millard Mitchell,"['Kiss of Death', ""Twelve O'Clock High""]"
2146,Jamie Foxx,"['Ali', ""Breakin' All the Rules"", 'Toys', 'Booty Call', 'Ray', 'Collateral', 'The Truth About Cats & Dogs']"
2147,Christine Lahti,"['...And Justice for All', 'Running on Empty', 'Gross Anatomy']"
2148,Bruce Campbell,"['Congo', 'Spider-Man']"
2149,Jon Cryer,"['Superman IV: The Quest For Peace', 'Hot Shots!', ""Morgan Stewart's Coming Home""]"
2150,Owen Wilson,"['Bottle Rocket', 'Cars', 'The Haunting', 'Armageddon', 'Behind Enemy Lines', 'The Big Bounce', 'Starsky & Hutch']"
2151,Kenan Thompson,"['Barbershop 2: Back in Business', 'Heavy Weights', 'Fat Albert']"
2152,Eli Wallach,"['The Godfather Part III', 'The Misfits', 'How the West Was Won']"
2153,Alan Reed,"['Perfect Strangers', 'I, the Jury']"
2154,Matthew Lawrence,"['Tales from the Darkside: The Movie', ""Kiki's Delivery Service""]"
2155,Jaime Pressly,"['Ticker', 'Tomcats', ""Can't Hardly Wait""]"
2156,Danny Mann,"['Balto', 'Babe', 'Babe: Pig in the City']"
2157,Walter Huston,"['Edge of Darkness', 'Abraham Lincoln']"
2158,Franchot Tone,"[""In Harm's Way"", 'Dangerous', 'Three Comrades']"
2159,Ben Chaplin,"['The Truth About Cats & Dogs', 'The Thin Red Line']"
2160,Simon Oakland,"['Murder, Inc.', 'The Sand Pebbles', 'I Want to Live!', 'Psycho']"
2161,Max Perlich,"['House on Haunted Hill', 'Georgia']"
2162,Joan Bennett,"['Disraeli', 'Father of the Bride']"
2163,David Niven,"[""The Bishop's Wife"", 'Carrington V.C.', 'Around the World in Eighty Days', 'Bonjour tristesse']"
2164,Jared Leto,"['Black and White', 'The Thin Red Line', 'Panic Room', 'Urban Legend', 'Alexander', 'Fight Club']"
2165,Irene Papas,"['Z', 'Elektra']"
2166,Billy Green Bush,"['The River', ""Alice Doesn't Live Here Anymore""]"
2167,Brian Glover,"['Kes', 'Alien3']"
2168,Justin Chatwin,"['War of the Worlds', 'Taking Lives']"
2169,Vanessa Bell Calloway,['The Temptations']
2170,Preston Foster,"['The Informer', 'I, the Jury']"
2171,Paul Reubens,"[""Pee-wee's Big Adventure"", 'Blow', 'Buffy the Vampire Slayer', ""Cheech & Chong's Next Movie"", 'Matilda']"
2172,Philip Seymour Hoffman,"['Red Dragon', 'The Talented Mr. Ripley', 'Patch Adams', 'Happiness', 'Magnolia', 'When a Man Loves a Woman', ""My Boyfriend's Back"", 'Cold Mountain', '25th Hour', 'Twister']"
2173,Keanu Reeves,"[""Bram Stoker's Dracula"", 'Point Break', 'Chain Reaction', 'Johnny Mnemonic', 'The Gift', 'The Replacements', ""The Devil's Advocate"", ""Something's Gotta Give"", 'Constantine', ""Bill & Ted's Excellent Adventure"", ""Bill & Ted's Bogus Journey"", 'Speed']"
2174,Katherine Heigl,"['Under Siege 2: Dark Territory', 'King of the Hill']"
2175,Ron Rifkin,"['JFK', 'Dragonfly', 'Boiler Room']"
2176,Beatrice Winde,"['Mandingo', 'The Taking of Pelham One Two Three']"
2177,Vera Miles,"['The Searchers', 'Psycho']"
2178,John Halsey,['The Rutles']
2179,Ronald Reagan,"[""Tennessee's Partner"", 'Roger & Me']"
2180,Charles Boyer,"['Lost Horizon', 'Fanny', 'Algiers']"
2181,Tony Randall,"['Will Success Spoil Rock Hunter?', 'Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)', 'Pillow Talk', ""Boys' Night Out""]"
2182,Nassar,"['Jeans', 'Bombay']"
2183,Michel Serrault,"['King of Hearts', 'Les Diaboliques']"
2184,Nick Chinlund,"['Eraser', 'The Chronicles of Riddick: Dark Fury', 'Bad Girls']"
2185,William Demarest,"['That Darn Cat!', ""Sullivan's Travels"", ""The Miracle of Morgan's Creek""]"
2186,Chi McBride,"['The Kid', 'I, Robot']"
2187,Gilbert Gottfried,"['Aladdin', ""Look Who's Talking Too"", 'Problem Child', 'The Net']"
2188,Bronson Pinchot,"[""Lady and the Tramp II: Scamp's Adventure"", 'After Hours']"
2189,Brent Carver,"['Ararat', 'Millennium']"
2190,Sean Combs,"[""Monster's Ball"", 'Made']"
2191,Eric Braeden,"['Colossus: The Forbin Project', 'Titanic']"
2192,Robin Thomas,"['Summer School', 'The Contender', 'About Last Night']"
2193,Ray Milland,"['X', ""Dead Men Don't Wear Plaid""]"
2194,Arthur Lowe,"['If...', 'O Lucky Man!']"
2195,Leslie Howard,"['Romeo and Juliet', ""Smilin' Through"", 'Berkeley Square']"
2196,John Larroquette,"['Cat People', 'Madhouse', 'Stripes', 'Blind Date']"
2197,Fanny Ardant,"['Sabrina', 'Elizabeth', 'Augustin, King of Kung-Fu']"
2198,Iman Abdulmajid,"['No Way Out', 'Star Trek VI: The Undiscovered Country']"
2199,Doris Lloyd,"['Disraeli', 'Alice in Wonderland']"
2200,Natascha McElhone,"['Laurel Canyon', 'Ronin', ""Love's Labour's Lost""]"
2201,Claire Danes,"['Terminator 3: Rise of the Machines', 'Romeo + Juliet', ""It's All About Love"", 'Little Women', 'The Rainmaker']"
2202,Paul Newman,"['Hud', 'Slap Shot', 'Mr. & Mrs. Bridge', 'Cars', ""Nobody's Fool"", 'Exodus', 'Quintet', 'Twilight', 'Somebody Up There Likes Me']"
2203,Bob Newhart,"['In & Out', 'Elf', 'The Librarian', 'Legally Blonde 2: Red, White & Blonde']"
2204,Marshall Bell,"['Twins', 'Starship Troopers', 'Identity']"
2205,Peter Mayhew,"['Star Wars Episode VI: Return of the Jedi', 'Star Wars Episode IV: A New Hope', 'Star Wars Episode III: Revenge of the Sith', 'Star Wars Episode V: The Empire Strikes Back']"
2206,Peter Cellier,"['Howards End', 'Clockwise', 'Jabberwocky']"
2207,Amy Stiller,"[""Amy Stiller's Breast"", 'Dodgeball: A True Underdog Story']"
2208,George Buck Flower,"[""John Carpenter's The Fog"", 'Ilsa: She-Wolf of the SS', 'Wishmaster']"
2209,Rhona Mitra,"['Beowulf', 'Sweet Home Alabama']"
2210,Julianne Moore,"['Freedomland', 'Hannibal', 'Magnolia', 'Evolution', 'Tales from the Darkside: The Movie', 'The Hand That Rocks the Cradle', 'The Lost World: Jurassic Park']"
2211,Richard Arlen,"['Wings', 'Thunderbolt']"
2212,Bokeem Woodbine,"['Freeway', 'The Rock', 'Ray']"
2213,Jason Marsden,"[""The Lion King II: Simba's Pride"", ""Mickey's Twice Upon a Christmas""]"
2214,Tress MacNeille,"['Hey Arnold!: The Movie', 'Rugrats in Paris: The Movie', 'The Chronicles of Riddick: Dark Fury', ""Mickey's Twice Upon a Christmas"", ""Kiki's Delivery Service""]"
2215,Clara Bow,"['Wings', 'It']"
2216,Sharon Stone,"['Casino', 'Above the Law', 'Catwoman', 'Sphere']"
2217,Jason Segel,"['SLC Punk!', ""Can't Hardly Wait""]"
2218,Raven-Symone,"['The Cheetah Girls', 'Zenon: Girl of the 21st Century', 'Dr. Dolittle 2', 'The Princess Diaries 2: Royal Engagement']"
2219,Jared Harris,"['Resident Evil: Apocalypse', ""How to Kill Your Neighbor's Dog"", 'Sylvia']"
2220,Jennifer Jason Leigh,"['Hey Arnold!: The Movie', 'Georgia', 'Backdraft', 'Mrs. Parker and the Vicious Circle', 'Flesh & Blood']"
2221,Jack Haley,"[""Alexander's Ragtime Band"", 'The Wizard of Oz']"
2222,Joseph Paur,"['The Testaments: Of One Fold and One Shepherd', 'Rigoletto']"
2223,Kea Wong,"['X2', 'Zenon: Girl of the 21st Century']"
2224,Woody Allen,"['Bananas', 'Sleeper', ""What's New Pussycat?"", 'Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)', 'Manhattan']"
2225,Keye Luke,"['Alice', 'Gremlins 2: The New Batch']"
2226,Julie Harris,"['East of Eden', 'The Haunting']"
2227,Lara Flynn Boyle,"[""Baby's Day Out"", ""Ferris Bueller's Day Off"", 'Afterglow', 'Happiness', ""Wayne's World"", 'Amerika']"
2228,Brittany Murphy,"['Sin City', ""Don't Say a Word"", 'Freeway']"
2229,Mickey Rourke,"['Man on Fire', 'Diner', ""Buffalo '66"", 'Thursday', 'Domino', 'Homeboy', ""Heaven's Gate"", 'Sin City', 'The Rainmaker']"
2230,Natalie Wood,"['Bob & Carol & Ted & Alice', 'The Star', 'The Searchers', 'Brainstorm', 'Meteor']"
2231,Winona Ryder,"[""Bram Stoker's Dracula"", 'Alien: Resurrection', 'Mermaids', 'Square Dance', '1969', 'The Crucible', 'Celebrity', 'Lucas', 'The House of the Spirits', 'Welcome Home, Roxy Carmichael', 'Little Women']"
2232,Edie McClurg,"[""Cheech & Chong's Next Movie"", ""A Bug's Life"", ""Ferris Bueller's Day Off""]"
2233,Rosanna DeSoto,"['About Last Night', 'La Bamba', 'Star Trek VI: The Undiscovered Country']"
2234,Nora Dunn,"['Three Kings', ""Max Keeble's Big Move""]"
2235,Dominic Chianese,"['...And Justice for All', 'Unfaithful']"
2236,Ariana Richards,"['Angus', 'Tremors', 'Jurassic Park']"
2237,Paul McGann,"['Doctor Who', 'Alien3']"
2238,Asia Argento,"['New Rose Hotel', 'XXX']"
2239,Jack Lemmon,"['JFK', ""Airport '77"", 'Hamlet', 'Days of Wine and Roses', 'Missing']"
2240,Thomas Gibson,"['Barcelona', 'Category 6: Day of Destruction']"
2241,Shelley Long,"['Dr. T & the Women', 'Caveman', 'Night Shift']"
2242,Lucy Liu,"['Ballistic: Ecks vs. Sever', ""Charlie's Angels: Full Throttle"", 'Domino', 'Kill Bill', 'Chicago', ""Charlie's Angels""]"
2243,Suzanne Pleshette,"[""The Lion King II: Simba's Pride"", 'The Birds']"
2244,Jean Stapleton,"['Bells Are Ringing', ""You've Got Mail""]"
2245,Jenny Agutter,"['Walkabout', ""Child's Play 2""]"
2246,Darren McGavin,"['Summertime', 'Raw Deal', ""By Dawn's Early Light""]"
2247,Tom McGuire,['Steamboat Bill Jr.']
2248,Kim Dickens,"['Committed', 'The Gift']"
2249,Gavin MacLeod,"['The Sand Pebbles', ""Kelly's Heroes"", 'The Party']"
2250,Radha Mitchell,"['Man on Fire', 'Phone Booth', 'Visitors']"
2251,James Hampton,['Hawmps!']
2252,Paul Henreid,"['Exorcist II: The Heretic', 'Goodbye, Mr. Chips', 'Now, Voyager', 'Casablanca']"
2253,Walter Matthau,"['JFK', 'Bad News Bears', 'Candy', 'The Taking of Pelham One Two Three', 'Hopscotch', 'Earthquake', 'Fail-Safe']"
2254,Tom Welling,"[""John Carpenter's The Fog"", 'Cheaper by the Dozen']"
2255,David Paymer,"['The Hurricane', 'The American President', 'City Hall', 'Mr. Saturday Night', 'Nixon', 'Alex & Emma']"
2256,Matt LeBlanc,"[""Charlie's Angels: Full Throttle"", 'Lost in Space', ""All the Queen's Men""]"
2257,Basil Rathbone,"['The Adventures of Robin Hood', 'Captain Blood', 'Personal History, Adventures, Experience, and Observation of David Copperfield the Younger', 'The Mark of Zorro']"
2258,Ving Rhames,"[""Jacob's Ladder"", 'Entrapment', 'Pulp Fiction', 'Baby Boy', 'Striptease', 'Final Fantasy: The Spirits Within', 'Dave', 'Dawn of the Dead', 'Mission: Impossible', 'Mission: Impossible II', 'Lilo & Stitch']"
2259,Brent Spiner,"['Star Trek: Generations', 'Ladies and Gentlemen, The Fabulous Stains', 'Independence Day', 'Star Trek: First Contact', 'South Park: Bigger, Longer & Uncut', 'Star Trek Nemesis', 'Star Trek: Insurrection']"
2260,James Donald,"['Quatermass and the Pit', 'Lust for Life']"
2261,Christopher Lee,"['Dracula', 'The Lord of the Rings: The Fellowship of the Ring', 'Gremlins 2: The New Batch', 'The Mummy', 'Star Wars Episode III: Revenge of the Sith', 'The Lord of the Rings: The Two Towers', 'Charlie and the Chocolate Factory', 'The Last Unicorn', '1941', 'Star Wars Episode II: Attack of the Clones', 'The Lord of the Rings: The Return of the King']"
2262,Chandra West,"['White Noise', 'Category 6: Day of Destruction']"
2263,Philippe Noiret,"['Topaz', ""Murphy's War"", 'Round Midnight']"
2264,Dudley Sutton,"['Edward II', 'The Devils']"
2265,Colin Firth,"['Conspiracy', 'The English Patient', 'What a Girl Wants', 'Bridget Jones: The Edge of Reason', 'Blackadder: Back & Forth']"
2266,A. J. Benza,"['Ransom', 'P.S. Your Cat Is Dead']"
2267,Adam Baldwin,"['Radio Flyer', 'Serenity']"
2268,Edmund Gwenn,"['Them!', 'Les Miserables']"
2269,John Cusack,"['Max', 'Identity', 'The Thin Red Line', 'Anastasia', 'True Colors', 'The Grifters', 'Serendipity', 'City Hall', ""America's Sweethearts"", 'High Fidelity']"
2270,Sam Elliott,"['Tombstone', 'Road House', 'The Contender', 'Hulk', 'Gettysburg', 'Mask', 'The Golden Compass']"
2271,Joaquin Phoenix,"['Signs', '8mm', 'The Village', ""It's All About Love""]"
2272,Gabriel Mann,"['Josie and the Pussycats', 'The Bourne Supremacy']"
2273,Julia Louis-Dreyfus,"[""Fathers' Day"", ""National Lampoon's Christmas Vacation"", ""A Bug's Life"", 'North']"
2274,Sean Whalen,"['Python', 'Twister']"
2275,Frankie Faison,"['Red Dragon', 'Manhunter', 'Hannibal', 'Cat People', 'Down to Earth']"
2276,Clive Owen,"['Bent', 'Elizabeth: The Golden Age', 'King Arthur', 'The Bourne Identity', 'Closer', 'Sin City']"
2277,Ernie Sabella,"[""The Lion King II: Simba's Pride"", 'The Lion King 1Â½']"
2278,Patricia Clarkson,"['The Green Mile', ""All the King's Men"", 'The Pledge', 'Miracle']"
2279,Nicol Williamson,"['Excalibur', 'Spawn']"
2280,Jimi Mistry,"['East is East', 'The Guru']"
2281,Barbara Hershey,"['Beaches', 'Swing Kids', 'The Portrait of a Lady', 'Diamonds', 'Riding the Bullet']"
2282,Joe Pichler,"[""Beethoven's 4th"", ""Beethoven's 3rd""]"
2283,Frank Albertson,"['Room Service', 'Psycho']"
2284,Thomas Jane,"['Thursday', 'Original Sin', 'The Thin Red Line', '61*']"
2285,Clea DuVall,"['Identity', 'Committed', ""Can't Hardly Wait"", ""But I'm a Cheerleader"", ""She's All That""]"
2286,Clark Gable,"['San Francisco', ""Idiot's Delight"", 'The Misfits', ""Teacher's Pet"", 'Test Pilot']"
2287,Elvis Presley,"['Jailhouse Rock', 'Roustabout', 'Love Me Tender']"
2288,Patricia Kalember,"['Signs', ""Jacob's Ladder""]"
2289,Hugh Griffith,"['Tom Jones', 'Ben-Hur']"
2290,Bill Erwin,"['Somewhere in Time', ""She's Having a Baby""]"
2291,Sid Caesar,"[""It's a Mad, Mad, Mad, Mad World"", 'The Fiendish Plot of Dr. Fu Manchu']"
2292,Ben Foster,"['Hostage', 'Get Over It']"
2293,Patrick McGoohan,"['Silver Streak', 'Ice Station Zebra']"
2294,Esai Morales,"['My Family', 'La Bamba']"
2295,Judd Nelson,"[""St. Elmo's Fire"", 'The Transformers: The Movie']"
2296,Diane Baker,"['Marnie', 'Journey to the Center of the Earth', 'The Diary of Anne Frank']"
2297,Summer Phoenix,"['Committed', 'SLC Punk!']"
2298,Sean Penn,"['Mystic River', 'The Thin Red Line', 'State of Grace', ""Carlito's Way"", ""It's All About Love"", ""All the King's Men""]"
2299,Maximilian Schell,"['Deep Impact', 'Vampires', 'Julia', 'Topkapi']"
2300,Dante Basco,"[""But I'm a Cheerleader"", 'Hook']"
2301,Maureen O'Hara,"['McLintock!', 'Rio Grande', 'Bagdad', 'The Hunchback of Notre Dame']"
2302,Hirofumi Arai,"['Justice', 'Go']"
2303,Rutger Hauer,"['Merlin', 'The Osterman Weekend', 'Buffy the Vampire Slayer', 'Sin City', 'Flesh & Blood', 'Turkish Delight']"
2304,William Morgan Sheppard,"['The Keep', ""Atlantis: Milo's Return"", 'Gettysburg']"
2305,Diane McBain,['The Broken Hearts Club: A Romantic Comedy']
2306,Neve Campbell,"['The Craft', '54', 'Scream', 'Panic', ""The Lion King II: Simba's Pride"", 'Churchill: The Hollywood Years']"
2307,Mackenzie Crook,"[""Pirates of the Caribbean: Dead Man's Chest"", 'Pirates of the Caribbean: The Curse of the Black Pearl']"
2308,Jacqueline Bisset,"['Airport', 'Inchon', 'Domino', 'Day for Night', 'Class']"
2309,Samantha Morton,"['Elizabeth: The Golden Age', 'John Carter of Mars', 'Minority Report']"
2310,Claudia Gerini,"[""Don't Move""]"
2311,Nigel Bruce,"['Limelight', 'Suspicion']"
2312,Cameron Diaz,"['The Mask', ""Charlie's Angels: Full Throttle"", ""My Best Friend's Wedding"", ""There's Something About Mary"", ""Charlie's Angels""]"
2313,Harrison Ford,"['Sabrina', 'Frantic', 'Star Wars Episode IV: A New Hope', 'Air Force One', 'Star Wars Episode VI: Return of the Jedi', 'K-19: The Widowmaker', ""Hearts of Darkness: A Filmmakers's Apocalypse"", 'Witness', 'Star Wars Episode V: The Empire Strikes Back', ""The Devil's Own"", 'Presumed Innocent']"
2314,Albert Bassermann,"['Foreign Correspondent', 'Madame Curie', 'The Red Shoes']"
2315,Marc McClure,"['Superman IV: The Quest For Peace', 'Superman']"
2316,Sissy Spacek,"['JFK', 'Affliction', 'Badlands', 'The River', ""Coal Miner's Daughter"", 'Missing']"
2317,William Petersen,"['Thief', 'Manhunter', 'The Contender', 'The Skulls', 'Cousins', 'Fear']"
2318,Oliver Phelps,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince']"
2319,Monica Potter,"['A Cool, Dry Place', 'Saw', 'Martha, Meet Frank, Daniel and Laurence', 'Bulletproof', 'Patch Adams']"
2320,Megumi Hayashibara,"['Pokamon: Legend Comes to Life', 'Cowboy Bebop: The Movie']"
2321,John Vernon,"['Topaz', ""I'm Gonna Git You Sucka"", 'Point Blank', ""National Lampoon's Animal House""]"
2322,Richard Brooks,['The Crow: City of Angels']
2323,Michael Oliver,['Problem Child']
2324,Wendee Lee,"['Reign: The Conqueror', 'Akira', 'Vampire Hunter D: Bloodlust', 'Cowboy Bebop: The Movie']"
2325,Matt Stone,"['Cannibal! The Musical', 'Team America: World Police', 'South Park: Bigger, Longer & Uncut']"
2326,Kate Beckinsale,"['Laurel Canyon', 'Underworld', 'Underworld: Evolution', 'Serendipity', 'Pearl Harbor']"
2327,Paul Bettany,"['Master and Commander: The Far Side of the World', ""A Knight's Tale"", 'Wimbledon']"
2328,Marc Anthony,"['Man on Fire', 'Hackers']"
2329,Daniel von Bargen,"['O Brother, Where Art Thou?', 'Shaft']"
2330,Joanna Cassidy,"['Barbarians at the Gate', ""Don't Tell Mom the Babysitter's Dead""]"
2331,Thomas Ian Nicholas,"['The Rules of Attraction', ""A Kid in King Arthur's Court""]"
2332,Joe Keaton,"['Sherlock, Jr.']"
2333,Gary Oldman,"[""Bram Stoker's Dracula"", 'JFK', 'Harry Potter and the Prisoner of Azkaban', 'State of Grace', 'Leon', 'The Contender', 'Air Force One', 'Hannibal', 'Lost in Space', 'Immortal Beloved', 'Criminal Law', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix']"
2334,Tim Roth,"['Pulp Fiction', 'Planet of the Apes', 'Rob Roy']"
2335,LL Cool J,"['Rollerball', 'S.W.A.T.', 'Toys']"
2336,Orlando Jones,"['Bedazzled', 'Magnolia', 'Evolution', 'The Replacements']"
2337,Stockard Channing,"['Where the Heart Is', 'Grease', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'Six Degrees of Separation', 'Twilight']"
2338,Bernard-Pierre Donnadieu,['The Vanishing']
2339,Bibi Besch,"['Star Trek II: The Wrath of Khan', 'Tremors']"
2340,David Carradine,"['Kill Bill', ""The Serpent's Egg"", 'Dangerous Curves']"
2341,Harris Yulin,"['Scarface', 'Multiplicity', 'The Hurricane', ""The Emperor's Club""]"
2342,Royal Dano,"['King of Kings', ""Mr. Magoo's Christmas Carol""]"
2343,Susan Hayward,"['With a Song in My Heart', 'My Foolish Heart', 'I Want to Live!', ""I'll Cry Tomorrow"", 'Smash-Up, the Story of a Woman']"
2344,Rick Moranis,"['My Blue Heaven', 'The Flintstones', 'Honey, I Blew Up the Kid']"
2345,Teresa Mo,"[""All's Well, Ends Well Too"", ""All's Well, Ends Well""]"
2346,Andrew Miller,['Cube']
2347,Tony Todd,"['Platoon', 'Wishmaster', 'Night of the Living Dead', 'The Crow', 'Candyman', 'The Rock']"
2348,Danielle Tabor,"[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban']"
2349,Heath Ledger,"['Ned Kelly', 'The Patriot', 'The Order', ""A Knight's Tale"", ""Monster's Ball""]"
2350,Dominic West,"['Rock Star', 'Chicago', 'John Carter of Mars']"
2351,David Gulpilil,"['Rabbit-Proof Fence', 'Walkabout']"
2352,Javier Bardem,"['Second Skin', 'Collateral']"
2353,Kevin Connolly,"[""Don's Plum"", 'Antwone Fisher']"
2354,Betsy Palmer,"['Queen Bee', 'Friday the 13th']"
2355,Ian McKellen,"['The Keep', 'Bent', 'Apt Pupil', 'X-Men', 'The Lord of the Rings: The Fellowship of the Ring', 'Scandal', 'The Lord of the Rings: The Two Towers', 'Richard III', 'X2', 'The Golden Compass', 'The Lord of the Rings: The Return of the King']"
2356,Greg Kinnear,"['Sabrina', 'Someone Like You', 'The Gift', ""You've Got Mail"", 'Robots']"
2357,James Villiers,"['The Nanny', ""Blood from the Mummy's Tomb""]"
2358,George DiCenzo,"['About Last Night', 'Helter Skelter']"
2359,Jeff Bridges,"['The Fisher King', 'Seabiscuit', 'The Vanishing', 'Jagged Edge', 'The Morning After', 'The Contender', 'Tron', 'The Last Unicorn', ""Heaven's Gate"", 'Starman', 'Fearless', 'King Kong', 'Tucker: The Man and His Dream']"
2360,William Hurt,"['Alice', 'The Village', 'Lost in Space', 'Dune', 'A.I.', 'Broadcast News', 'The Big Chill']"
2361,Kathryn Erbe,"['What About Bob?', 'Kiss of Death']"
2362,Mary Elizabeth Mastrantonio,"['Scarface', 'Class Action', 'Robin Hood: Prince of Thieves']"
2363,Christopher Collet,['Manhattan Project']
2364,Judi Dench,"['Henry V', 'Iris', 'Hamlet', 'Casino Royale']"
2365,Beau Bridges,"['Alice in Wonderland', ""Lovin' Molly"", 'The Wizard', '10.5']"
2366,Emmy Rossum,"['Mystic River', 'The Phantom of the Opera']"
2367,Magda Szubanski,"['Babe', 'Babe: Pig in the City']"
2368,Jena Malone,"['For Love of the Game', 'Cheaters', 'Saved!', 'American Girl']"
2369,Burgess Meredith,"[""In Harm's Way"", 'The Story of G.I. Joe', 'Batman', ""Idiot's Delight"", 'Madame X', 'Of Mice and Men', 'The Hindenburg', 'Magic', 'Twilight Zone: The Movie']"
2370,Anne Baxter,"['The Ten Commandments', 'The Luck of the Irish', 'I Confess', 'The Pied Piper']"
2371,Paula Prentiss,"[""What's New Pussycat?"", ""In Harm's Way""]"
2372,Julian Beck,"['Candy', 'The Cotton Club']"
2373,Ajay Naidu,"['Pi', 'The Guru']"
2374,Donald Moffat,"[""John Carpenter's The Thing"", 'Class Action', '61*']"
2375,Michael Redgrave,"['Battle of Britain', 'Goodbye, Mr. Chips', 'Oh! What a Lovely War', 'The Dam Busters', 'The Lady Vanishes', 'Oh... Rosalinda!!']"
2376,Luke Askew,"['Easy Rider', 'The Green Berets']"
2377,Lili Taylor,"['Live from Baghdad', 'The Haunting', 'Ransom', 'Rudy', 'High Fidelity', 'Dogfight', 'Mrs. Parker and the Vicious Circle', ""She's Having a Baby""]"
2378,Glenn Ford,"['Midway', 'Superman', 'Trial']"
2379,Patrick Bergin,"['Sleeping with the Enemy', 'Berserker']"
2380,Andy Romano,"['Eraser', 'Over the Edge', 'Pump Up the Volume']"
2381,Charles Aznavour,"['Candy', 'The Games', 'Ararat']"
2382,Rebekah Del Rio,['Rabbits']
2383,Alexander Siddig,"['Kingdom of Heaven', 'Reign of Fire']"
2384,Toshiro Mifune,"['Yojimbo', 'Stray Dog', 'Inchon', 'Shogun', '1941', 'Grand Prix', 'Rashomon', 'Midway', 'Hakuchi']"
2385,Kate Nelligan,"['Dracula', 'Wolf']"
2386,Sam Robards,"['American Beauty', 'A.I.']"
2387,James Sikking,"['Star Trek III: The Search for Spock', 'Outland']"
2388,Khandi Alexander,"[""There's Something About Mary"", ""What's Love Got to Do with It""]"
2389,Chazz Palminteri,"['Down to Earth', ""Lady and the Tramp II: Scamp's Adventure""]"
2390,Cary Grant,"['Suspicion', ""The Bishop's Wife"", 'Topper', ""Dead Men Don't Wear Plaid"", 'To Catch a Thief', 'Alice in Wonderland', 'Arsenic and Old Lace']"
2391,Robert Powell,"['Tommy', 'Jesus of Nazareth']"
2392,Tim Curry,"['Home Alone 2: Lost in New York', 'It', 'Congo', 'Kinsey', 'Clue', 'Beauty and the Beast: The Enchanted Christmas', 'Legend', ""Charlie's Angels"", 'Rugrats Go Wild!']"
2393,Mi­a Maestro,"['The Motorcycle Diaries', 'In the Time of the Butterflies']"
2394,Verna Bloom,"['After Hours', ""National Lampoon's Animal House""]"
2395,Jeffrey Tambor,"[""There's Something About Mary"", '...And Justice for All', ""The Muppets' Wizard of Oz""]"
2396,Lori Williams,"['Faster, Pussycat! Kill! Kill!']"
2397,Tobin Bell,"['The Firm', 'Saw']"
2398,Peter Jeffrey,"['If...', 'Dr. Phibes Rises Again']"
2399,Jeremy Sisto,"['Thirteen', 'Bongwater']"
2400,Ethan Suplee,"['Blow', 'The First $20 Million Is Always the Hardest', 'Cold Mountain', 'Dogma', 'Evolution', 'Road Trip']"
2401,Milo O'Shea,"['Ulysses', 'Romeo and Juliet']"
2402,Vanessa Angel,"['Sabretooth', 'SuperBabies: Baby Geniuses 2']"
